administrative_code,administrative_name,name,tenure_begin,tenure_end,position,gender,birthyear,birthplace,degree,name_tkov,birthplace_tkov,
110000,北京市,陈吉宁,2017,至今,市长,男,1964,吉林省吉林市,研究生,,,
110000,北京市,蔡奇,2017,至今,市委书记,男,1955,福建省三明市,研究生,,,
110000,北京市,蔡奇,2016,2017,市长,男,1955,福建省三明市,研究生,陈吉宁,吉林省吉林市,
110000,北京市,王安顺,2012,2016,市长,男,1957,河南省新乡市,研究生,蔡奇,福建省三明市,
110000,北京市,郭金龙,2012,2017,市委书记,男,1947,江苏省南京市,本科,蔡奇,福建省三明市,
110000,北京市,郭金龙,2007,2012,市长,男,1947,江苏省南京市,本科,王安顺,河南省新乡市,
110000,北京市,孟学农,2003,2003,市长,男,1949,山东省烟台市,研究生,王岐山,山西省大同市,
110000,北京市,王岐山,2003,2007,市长,男,1948,山西省大同市,本科,郭金龙,江苏省南京市,
110000,北京市,刘淇,2002,2012,市委书记,男,1942,江苏省常州市,研究生,郭金龙,江苏省南京市,
110000,北京市,刘淇,1999,2003,市长,男,1942,江苏省常州市,研究生,孟学农,山东省烟台市,
110000,北京市,贾庆林,1997,2002,市委书记,男,1940,河北省沧州市,本科,刘淇,江苏省常州市,
120000,天津市,廖国勋,2020,2022,市长,男,1963,四川省成都市,研究生,张工,北京市,
120000,天津市,张国清,2018,2020,市长,男,1964,河南省信阳市,研究生,廖国勋,四川省成都市,
120000,天津市,王东峰,2016,2017,市长,男,1958,陕西省西安市,研究生,张国清,河南省信阳市,
120000,天津市,李鸿忠,2016,至今,市委书记,男,1956,山东省潍坊市,本科,,,
120000,天津市,黄兴国,2014,2016,市委书记,男,1954,浙江省宁波市,研究生,李鸿忠,山东省潍坊市,
120000,天津市,孙春兰,2012,2014,市委书记,女,1950,河北省衡水市,研究生,黄兴国,浙江省宁波市,
120000,天津市,黄兴国,2007,2016,市长,男,1954,浙江省宁波市,研究生,王东峰,陕西省西安市,
120000,天津市,张高丽,2007,2012,市委书记,男,1946,福建省泉州市,本科,孙春兰,河北省衡水市,
120000,天津市,戴相龙,2002,2007,市长,男,1944,江苏省扬州市,研究生,黄兴国,浙江省宁波市,
120000,天津市,李盛霖,1998,2002,市长,男,1946,江苏省南通市,本科,戴相龙,江苏省扬州市,
120000,天津市,张立昌,1997,2007,市委书记,男,1962,河北省沧州市,本科,张高丽,福建省泉州市,
130000,河北省,许勤,2017,2021,省长,男,1961,江苏省连云港市,研究生,王正谱,山东省烟台市,
130000,河北省,王东峰,2017,2022,省委书记,男,1958,陕西省西安市,研究生,倪岳峰,安徽安庆市,
130000,河北省,赵克志,2015,2017,省委书记,男,1953,山东省青岛市,研究生,王东峰,陕西省西安市,
130000,河北省,周本顺,2013,2015,省委书记,男,1953,湖南省怀化市,研究生,赵克志,山东省青岛市,
130000,河北省,张庆伟,2011,2017,省长,男,1961,河北省唐山市,研究生,许勤,江苏省连云港市,
130000,河北省,张庆黎,2011,2013,省委书记,男,1951,山东省泰安市,研究生,周本顺,湖南省怀化市,
130000,河北省,陈全国,2009,2011,省长,男,1955,福建省南平市,研究生,张庆伟,河北省唐山市,
130000,河北省,胡春华,2008,2009,省长,男,1963,湖北省宜昌市,本科,陈全国,福建省南平市,
130000,河北省,张云川,2007,2011,省委书记,男,1946,浙江省金华市,本科,张庆黎,山东省泰安市,
130000,河北省,郭庚茂,2006,2008,省长,男,1950,河北省衡水市,研究生,胡春华,湖北省宜昌市,
130000,河北省,季允石,2002,2006,省长,男,1945,江苏省南通市,本科,郭庚茂,河北省衡水市,
130000,河北省,白克明,2002,2007,省委书记,男,1943,陕西省榆林市,本科,张云川,浙江省金华市,
130000,河北省,王旭东,2000,2002,省委书记,男,1946,江苏省盐城市,本科,白克明,陕西省榆林市,
130000,河北省,钮茂生,1999,2002,省长,男,1939,北京市,本科,季允石,江苏省南通市,
130000,河北省,叶连松,1998,2000,省委书记,男,1935,山东省烟台市,本科,王旭东,江苏省盐城市,
130100,河北省石家庄市,邓沛然,2016,2021,市长,男,1963,河北省沧州市,研究生,马宇骏,河北唐山市,
130100,河北省石家庄市,邢国辉,2016,2021,市委书记,男,1961,河北省石家庄市,研究生,张超超,河南驻马店市,
