"","Nm_Prfc","cohort","市长_姓名","市委书记_姓名","市长_出生年份","市委书记_出生年份","市长_出生地","市委书记_出生地","市长_学历","市委书记_学历","市长_性别","市委书记_性别","市长_Age_t","市委书记_Age_t","市长_tenure","市委书记_tenure"
"1","南京市",2012,"季建业","杨卫泽",1957,1962,"江苏省苏州市","江苏省常州市","研究生","研究生","男","男",55,50,3,1
"2","南京市",2013,"季建业","杨卫泽",1957,1962,"江苏省苏州市","江苏省常州市","研究生","研究生","男","男",56,51,4,2
"3","南京市",2014,"缪瑞林","杨卫泽",1964,1962,"江苏省南通市","江苏省常州市","研究生","研究生","男","男",50,52,1,3
"4","南京市",2015,"缪瑞林","黄莉新",1964,1962,"江苏省南通市","江苏省宿迁市","研究生","研究生","男","女",51,53,2,0
"5","南京市",2016,"缪瑞林","黄莉新",1964,1962,"江苏省南通市","江苏省宿迁市","研究生","研究生","男","女",52,54,3,1
"6","南京市",2017,"缪瑞林","吴政隆",1964,1964,"江苏省南通市","江苏省南京市","研究生","本科","男","男",53,53,4,1
"7","南京市",2018,"蓝绍敏","张敬华",1964,1962,"广东省梅州市","江苏省泰州市","研究生","本科","男","男",54,56,0,1
"8","南京市",2019,"蓝绍敏","张敬华",1964,1962,"广东省梅州市","江苏省泰州市","研究生","本科","男","男",55,57,1,2
"9","南京市",2020,"韩立明","张敬华",1964,1962,"江苏省常州市","江苏省泰州市","研究生","本科","女","男",56,58,1,3
"10","南京市",2021,"韩立明","韩立明",1964,1964,"江苏省常州市","江苏省常州市","研究生","研究生","女","女",57,57,2,3
"11","南京市",2022,"夏心旻","韩立明",1965,1964,"江苏省盐城市","江苏省常州市","研究生","研究生","男","女",57,58,0,4
"12","南通市",2012,"张国华","丁大卫",1964,1955,"江苏省苏州市","江苏省无锡市","本科","研究生","男","男",48,57,1,1
"13","南通市",2013,"张国华","丁大卫",1964,1955,"江苏省苏州市","江苏省无锡市","本科","研究生","男","男",49,58,2,2
"14","南通市",2014,"张国华","丁大卫",1964,1955,"江苏省苏州市","江苏省无锡市","本科","研究生","男","男",50,59,3,3
"15","南通市",2015,"张国华","丁大卫",1964,1955,"江苏省苏州市","江苏省无锡市","本科","研究生","男","男",51,60,4,4
"16","南通市",2016,"韩立明","陆志鹏",1964,1964,"江苏省常州市","河南省洛阳市","研究生","研究生","女","男",52,52,0,0
"17","南通市",2017,"韩立明","陆志鹏",1964,1964,"江苏省常州市","河南省洛阳市","研究生","研究生","女","男",53,53,1,1
"18","南通市",2018,"徐惠民","陆志鹏",1963,1964,"江苏省苏州市","河南省洛阳市","研究生","研究生","男","男",55,54,0,2
"19","南通市",2019,"徐惠民","陆志鹏",1963,1964,"江苏省苏州市","河南省洛阳市","研究生","研究生","男","男",56,55,1,3
"20","南通市",2020,"王晖","徐惠民",1968,1963,"江苏省徐州市","江苏省苏州市","研究生","研究生","男","男",52,57,1,1
"21","南通市",2021,"王晖","徐惠民",1968,1963,"江苏省徐州市","江苏省苏州市","研究生","研究生","男","男",53,58,2,2
"22","南通市",2022,NA,"王晖",NA,1968,NA,"江苏省徐州市",NA,"研究生",NA,"男",NA,54,NA,1
"23","宿迁市",2012,"蓝绍敏","缪瑞林",1964,1964,"广东省梅州市","江苏省南通市","研究生","研究生","男","男",48,48,1,1
"24","宿迁市",2013,"王天琦","蓝绍敏",1968,1964,"安徽省宿州市","广东省梅州市","研究生","研究生","男","男",45,49,0,0
"25","宿迁市",2014,"王天琦","蓝绍敏",1968,1964,"安徽省宿州市","广东省梅州市","研究生","研究生","男","男",46,50,1,1
"26","宿迁市",2015,"王天琦","魏国强",1968,1964,"安徽省宿州市","江苏省镇江市","研究生","研究生","男","男",47,51,2,1
"27","宿迁市",2016,"王天琦","魏国强",1968,1964,"安徽省宿州市","江苏省镇江市","研究生","研究生","男","男",48,52,3,2
"28","宿迁市",2017,"王天琦","魏国强",1968,1964,"安徽省宿州市","江苏省镇江市","研究生","研究生","男","男",49,53,4,3
"29","宿迁市",2018,"王昊","张爱军",1965,1964,"安徽省宿州市","江苏省南通市","研究生","研究生","男","男",53,54,0,0
